Regional Hub,Team,Founding,Last Championship,Break
Phoenix,Diamondbacks,1998,2001,0
Atlanta,Braves,1966,2021,0
Baltimore,Orioles,1954,1983,0
Boston,Red Sox,1901,2018,0
Chicago,Cubs,1876,2016,0
Chicago,White Sox,1900,2005,0
Cincinnati,Reds,1881,1990,0
Cleveland,Guardians,1900,1948,0
Denver,Rockies,1993,0,0
Detroit,Tigers,1901,1984,0
Houston,Astros,1962,2022,0
Kansas City,Royals,1969,2015,0
Los Angeles,Angels,1961,2002,0
Los Angeles,Dodgers,1958,2020,0
Miami,Marlins,1993,2003,0
Milwaukee,Brewers,1970,0,0
Minneapolis,Twins,1961,1991,0
New York City,Mets,1962,1986,0
New York City,Yankees,1903,2009,0
San Francisco,Athletics,1968,1989,0
Philadelphia,Phillies,1883,2008,0
Pittsburgh,Pirates,1882,1979,0
San Diego,Padres,1969,0,0
San Francisco,Giants,1958,2014,0
Seattle,Mariners,1977,0,0
St. Louis, Cardinals,1882,2011,0
Tampa Bay,Rays,1992,0,0
Dallas,Rangers,1972,0,0
Toronto,Blue Jays,1977,1993,0
Washington D.C.,Nationals,2005,2019,0
