Regional Hub,Team,Founding,Last Championship,Break
Atlanta,Hawks,1968,0,0
Boston,Celtics,1946,2008,0
New York City,Nets,1967,1976,0
Charlotte,Hornets,1988,0,2
Chicago,Bulls,1966,1998,0
Cleveland,Cavaliers,1970,2016,0
Dallas,Mavericks,1980,2011,0
Denver,Nuggets,1967,2023,0
Detroit,Pistons,1957,2004,0
San Francisco,Warriors,1962,2022,0
Houston,Rockets,1971,1995,0
Indianapolis,Pacers,1967,1973,0
Los Angeles,Clippers,1984,0,0
Los Angeles,Lakers,1960,2020,0
Nashville,Grizzlies,2001,0,0
Miami,Heat,1988,2013,0
Milwaukee,Bucks,1968,2021,0
Minneapolis,Timberwolves,1989,0,0
New Orleans,Pelicans,2002,0,0
New York City,Knicks,1946,1973,0
Oklahoma City,Thunder,2008,0,0
Orlando,Magic,1989,0,0
Philadelphia,76ers,1963,1983,0
Phoenix,Suns,1968,0,0
Portland,Trail Blazers,1970,1977,0
Sacramento,Kings,1985,0,0
San Antonio,Spurs,1973,2014,0
Toronto,Raptors,1995,2019,0
Salt Lake City,Jazz,1979,1998,0
Washington D.C.,Wizards,1973,1978,0
